timestamp,container/edge-router_1/CPU_usage,container/edge-router_1/MEM_usage,container/edge-router_1/Cached_MEM_usage,container/edge-router_1/NET_Input,container/edge-router_1/NET_Output,container/edge-router_1/FS_usage,container/edge-router_1/FS_reads,container/edge-router_1/FS_writes,container/front-end_1/CPU_usage,container/front-end_1/MEM_usage,container/front-end_1/Cached_MEM_usage,container/front-end_1/NET_Input,container/front-end_1/NET_Output,container/front-end_1/FS_usage,container/front-end_1/FS_reads,container/front-end_1/FS_writes,service/edge-router:80/request_duration_seconds_count,service/edge-router:80/request_duration_seconds_bucket
1545224400,0.009642274,13713408,270336,1881.563636,1911.563636,81920,0,0,0.008511749,74911744,106496,93.63636364,1627.036364,81920,0,0,0,0
1545224390,0.009646318,13713408,270336,1881.527273,1911.527273,81920,0,0,0.009227756,75689984,106496,103,1789.727273,81920,0,0,0,0
1545224380,0.009779279,13713408,270336,1881.472727,1911.472727,81920,0,0,0.010088162,75038720,106496,103,1789.672727,81920,0,0,0,0
1545224370,0.006481914,13713408,270336,1881.418182,1911.418182,81920,0,0,0.009610649,75481088,106496,103,1789.618182,81920,0,0,0,0
1545224360,0.006366235,13713408,270336,1881.436364,1911.436364,81920,0,0,0.009922958,74825728,106496,103,1789.636364,81920,0,0,0,0
1545224350,0.006424539,13713408,270336,1881.509091,1911.509091,81920,0,0,0.008391746,74887168,106496,93.63636364,1627,81920,0,0,0,0
1545224340,0.006434655,13713408,270336,1881.472727,1911.472727,81920,0,0,0.009589879,75677696,106496,103,1789.672727,81920,0,0,0,0
1545224330,0.006422535,13713408,270336,1881.454545,1911.454545,81920,0,0,0.008401776,75698176,106496,93.63636364,1626.963636,81920,0,0,0,0
1545224320,0.006352547,13713408,270336,1881.490909,1911.490909,81920,0,0,0.01005744,75501568,106496,112.3636364,1952.4,81920,0,0,0,0
1545224310,0.009047975,13713408,270336,1881.472727,1911.472727,81920,0,0,0.009544326,74833920,106496,103,1789.672727,81920,0,0,0,0
1545224300,0.009159705,13713408,270336,1881.472727,1911.472727,81920,0,0,0.009956104,75292672,106496,112.3636364,1952.363636,81920,0,0,0,0
1545224290,0.009097857,13713408,270336,1881.454545,1911.454545,81920,0,0,0.009691005,75616256,106496,112.3636364,1952.327273,81920,0,0,0,0
1545224280,0.009111823,13713408,270336,1881.472727,1911.472727,81920,0,0,0.00900048,75108352,106496,103,1789.672727,81920,0,0,0,0
1545224270,0.0089811,13713408,270336,1881.490909,1911.490909,81920,0,0,0.00918844,75485184,106496,103,1789.690909,81920,0,0,0,0
1545224260,0.009380858,13713408,270336,1881.472727,1911.472727,81920,0,0,0.009856915,74825728,106496,103,1789.672727,81920,0,0,0,0
1545224250,0.006518731,13713408,270336,1881.472727,1911.472727,81920,0,0,0.010393115,75284480,106496,112.3636364,1952.363636,81920,0,0,0,0
1545224240,0.006434331,13713408,270336,1881.490909,1911.490909,81920,0,0,0.01019491,74653696,106496,103,1789.690909,81920,0,0,0,0
1545224230,0.006309251,13713408,270336,1881.563636,1911.563636,81920,0,0,0.010114832,75112448,106496,103,1789.763636,81920,0,0,0,0
1545224220,0.006158798,13713408,270336,1881.527273,1911.527273,81920,0,0,0.009941545,75411456,106496,103,1789.727273,81920,0,0,0,0
1545224210,0.006081562,13713408,270336,1881.545455,1911.545455,81920,0,0,0.00801473,75517952,106496,93.63636364,1627.054545,81920,0,0,0,0
1545224200,0.005977055,13713408,270336,1881.618182,1911.618182,81920,0,0,0.009185702,75321344,106496,103,1789.818182,81920,0,0,0,0
1545224190,0.009479422,13713408,270336,1881.672727,1911.672727,81920,0,0,0.009572147,74641408,106496,103,1789.872727,81920,0,0,0,0
1545224180,0.009414464,13713408,270336,1881.690909,1911.690909,81920,0,0,0.009599045,75112448,106496,103,1789.890909,81920,0,0,0,0
1545224170,0.00946723,13713408,270336,1881.690909,1911.690909,81920,0,0,0.009743361,75411456,106496,103,1789.890909,81920,0,0,0,0
1545224160,0.009186973,13713408,270336,1881.654545,1911.654545,81920,0,0,0.00918079,74514432,106496,93.63636364,1627.127273,81920,0,0,0,0
1545224150,0.009255265,13713408,270336,1881.6,1911.6,81920,0,0,0.010188838,75296768,106496,103,1789.8,81920,0,0,0,0
1545224140,0.009058356,13713408,270336,1881.563636,1911.563636,81920,0,0,0.009061462,75292672,106496,93.63636364,1627.054545,81920,0,0,0,0
1545224130,0.00539641,13713408,270336,1881.581818,1911.581818,81920,0,0,0.009453195,74702848,106496,103,1789.781818,81920,0,0,0,0
1545224120,0.005450466,13713408,270336,1881.563636,1911.563636,81920,0,0,0.010201665,75509760,106496,112.3636364,1952.472727,81920,0,0,0,0
1545224110,0.005847475,13713408,270336,1881.618182,1911.618182,81920,0,0,0.009503071,74944512,106496,103,1789.818182,81920,0,0,0,0
1545224100,0.00586462,13713408,270336,1881.672727,1911.672727,81920,0,0,0.009594323,75329536,106496,103,1789.872727,81920,0,0,0,0
1545224090,0.006165246,13713408,270336,1881.709091,1911.709091,81920,0,0,0.009531751,74739712,106496,103,1789.909091,81920,0,0,0,0
1545224080,0.006380414,13713408,270336,1881.781818,1911.781818,81920,0,0,0.009486602,75100160,106496,103,1789.981818,81920,0,0,0,0
1545224070,0.006372164,13713408,270336,1881.818182,1911.818182,81920,0,0,0.009872208,74530816,106496,103,1790.018182,81920,0,0,0,0
1545224060,0.010146357,13713408,270336,1881.890909,1911.890909,81920,0,0,0.009849744,74813440,106496,103,1790.090909,81920,0,0,0,0
