timestamp,container/front-end_1/CPU_usage,container/front-end_1/MEM_usage,container/front-end_1/Cached_MEM_usage,container/front-end_1/NET_Input,container/front-end_1/NET_Output,container/front-end_1/FS_usage,container/front-end_1/FS_reads,container/front-end_1/FS_writes,service/edge-router:80/request_duration_seconds_count,service/edge-router:80/request_duration_seconds_bucket
1544020780,1.461830887,149508096,25026560,45017.2,33949.76364,263098368,0,0,70.94545455,843.8363636
1544020770,1.480399969,146890752,25026560,45903.96364,34545.94545,263098368,0,0,70.69090909,842
1544020760,1.395548552,123916288,25026560,45366.07273,34275.27273,262078464,0,0,70.89090909,838.4363636
1544020750,1.389843834,117620736,25026560,44760.56364,33866.2,262078464,0,0,70.52599044,835.3484482
1544020740,1.394242426,114356224,25026560,44900.67273,33903.34545,262078464,0,0,70.58181818,837.6909091
1544020730,1.389079878,114225152,25026560,44828.45455,33890,262078464,0,0,70.89090909,838.8727273
1544020720,1.365346143,112742400,25026560,44541.25455,33697.41818,262078464,0,0,70.74545455,838.6909091
1544020710,1.411215687,112676864,25026560,45019.63636,33962.96364,262078464,0,0,70.96234614,845.7118961
1544020700,1.427108077,111947776,25026560,45939.6,34538.41818,261054464,0,0,71.07401953,847.1972218
1544020690,1.41673523,112549888,25026560,44884.38182,33811.58182,261054464,0,0,70.8714387,845.4028109
1544020680,1.38234844,108101632,25026560,44388.63636,33448.96364,261054464,0,0,71.1623425,849.7118234
1544020670,1.418417578,111837184,25026560,45275.96364,34019.89091,261054464,0,0,71.18181818,851.4727273
1544020660,1.390631214,111595520,25026560,44957.34545,33796.4,261054464,0,0,71.23506845,852.7481319
1544020650,1.375510825,115834880,25026560,44794.54545,33691.67273,261054464,0,0,71,849.5636364
1544020640,1.332264084,119103488,25026560,44373.54545,33431.89091,260046848,0,0,71.40129821,854.2155312
1544020630,1.366630265,116375552,25026560,44670.09091,33639.52727,260046848,0,0,70.45454545,841.7272727
1544020620,1.347800632,119840768,25026560,45012.03636,33881.36364,260046848,0,0,73.2,861.4
1544020610,1.302016591,116113408,25026560,44563.41818,33762.67273,260046848,0,0,70.27272727,827.4363636
1544020600,1.34492044,116367360,25026560,45492.65455,34445.76364,260046848,0,0,70.21818182,825.9818182
1544020590,1.320012918,113098752,25026560,44801.10909,33945.58182,260046848,0,0,70.61946581,830.7423771
1544020580,1.339569021,115326976,25026560,45145.32727,34177.16364,259035136,0,0,70.49090909,829.6545455
1544020570,1.342766206,112320512,25026560,45160.98182,34321.65455,259035136,0,0,69.9987273,818.1851239
1544020560,1.31989048,110825472,25026560,43714.89091,33144.41818,259035136,0,0,71.50909091,846.7090909
1544020550,1.367880756,110817280,25026560,45115.85455,34157.12727,259035136,0,0,70.43636364,834
1544020540,1.367492857,113147904,25026560,45728.25455,34617,259035136,0,0,70.51037292,830.4332806
1544020530,1.314823921,114061312,25026560,44024.81818,33488.76364,259035136,0,0,70.23764068,826.45139
1544020520,1.327922591,112566272,25026560,44772.78182,34072.38182,258015232,0,0,70.47144597,825.3304485
1544020510,1.347592056,112472064,25026560,45765,34612.83636,258015232,0,0,70.83765159,834.760632
1544020500,1.347336157,112340992,25026560,45213.27273,34176.67273,258015232,0,0,70.65326085,836.2029781
1544020490,1.360087844,111874048,25026560,46252.34545,34874.89091,258015232,0,0,71.52857325,845.6153748
1544020480,1.332606801,117780480,25026560,45020.58182,33922.83636,258015232,0,0,71.2,846.9272727
1544020470,1.328630873,115499008,25026560,44229.98182,33325.29091,258015232,0,0,70.99870911,847.8027672
1544020460,1.306942563,123695104,25026560,44349.01818,33443.03636,257003520,0,0,71.27272727,851.0181818
1544020450,1.364692952,120791040,25026560,45251.43636,34059.27273,257003520,0,0,71.00129093,847.6881398
1544020440,1.352574443,116412416,25026560,44478.32727,33539.10909,257003520,0,0,71.2,849.8363636
1544020430,1.372552701,114823168,25026560,45324.81818,34119.18182,257003520,0,0,70.89090909,845.3454545
1544020420,1.340582512,114454528,25026560,44641.18182,33656.41818,257003520,0,0,70.8,844.4
1544020410,1.340384699,111689728,25026560,44098.96364,33259.8,257003520,0,0,70.8714387,845.9846185
1544020400,1.349045413,118181888,25026560,44722.16364,33626.8,255983616,0,0,70.87272727,847.3636364
1544020390,1.329108218,116600832,25026560,43756.90909,32975.14545,255983616,0,0,71,846.9454545
1544020380,1.359250457,117460992,25026560,45010.78182,33815.36364,255983616,0,0,70.61818182,844.3818182
1544020370,1.326578059,115576832,25026560,43881.41818,33069.54545,255983616,0,0,70.94545455,847.4545455
1544020360,1.342416127,116088832,25026560,45136,33920.69091,255983616,0,0,70.67401225,844.1789851
1544020350,1.314467856,113315840,25026560,43635.90909,32899.30909,255983616,0,0,70.61818182,843.4909091
1544020340,1.352344424,119590912,25026560,45306.36364,34020.96364,254980096,0,0,70.98181818,847.8363636
1544020330,1.349288427,117592064,25026560,44178.21818,33254.25455,254980096,0,0,70.8,847.5272727
1544020320,1.38766861,116011008,25026560,45418.23636,34103.67273,254980096,0,0,70.8012873,847.6517755
1544020310,1.360563662,115142656,25026560,43963.41818,33110.07273,254980096,0,0,70.78310515,848.0699649
1544020300,1.411290177,116031488,25026560,45430.72727,34119.87273,254980096,0,0,71.05454545,850.6
1544020290,1.421088351,115134464,25026560,44665.70909,33611.67273,254980096,0,0,71.21947672,851.4882089
1544020280,1.400719255,114364416,25026560,44647.29091,33638.89091,253956096,0,0,71.49090909,854.0363636
1544020270,1.393394393,114470912,25026560,44032.38182,33198.89091,253956096,0,0,70.70909091,844.6363636
1544020260,1.342932787,116568064,25026560,43742.30909,33086.27273,253956096,0,0,70.8012873,842.3607702
1544020250,1.372611236,116666368,25026560,44683.21818,33595.65455,253956096,0,0,70.85583374,843.7062492
1544020240,1.348301138,114417664,25026560,44414.43636,33525.12727,253956096,0,0,70.6,839.4727273
1544020230,1.351677764,114413568,25026560,44706.56364,33774.70909,253956096,0,0,70.72727273,840.5090909
1544020220,1.388553042,114442240,25026560,45545.16364,34313.12727,252944384,0,0,71.03636364,844.8909091
1544020210,1.3727726,114454528,25026560,44571.05455,33610.34545,252944384,0,0,71.25454545,850.6909091
1544020200,1.366608785,112816128,25026560,44987.89091,33998.56364,252944384,0,0,70.65454545,837.1636364
1544020190,1.350617034,112812032,25026560,44486.45455,33683.16364,252944384,0,0,70.70909091,838.0545455
1544020180,1.361131142,115089408,25026560,43820.85455,33268.81818,252944384,0,0,70.85454545,838.6727273
1544020170,1.330596903,120266752,25026560,44641.03636,33819.65455,252944384,0,0,70.92727273,838.7454545
1544020160,1.352101918,117272576,25026560,44947.30909,34186.16364,251932672,0,0,70.41818182,826.5272727
1544020150,1.28570329,119246848,25026560,44285.52727,33874.58182,251932672,0,0,70.34417556,817.7124052
1544020140,1.360952793,116477952,25026560,45226.83636,34443.01818,251932672,0,0,70.25582283,823.6513391
1544020130,1.293647865,117121024,25026560,44101.54545,33651.43636,251932672,0,0,70.50909091,826.8727273
1544020120,1.325347109,114720768,25026560,44987.83636,34224.85455,251932672,0,0,70.90909091,832.6909091
1544020110,1.304864967,115544064,25026560,44174.27273,33747.07273,251932672,0,0,69.91036201,815.814833
1544020100,1.356442437,113672192,25026560,44704.61818,33875.47273,250925056,0,0,71.90909091,839.5090909
1544020090,1.337472365,115806208,25026560,44628.90909,33946.98182,250925056,0,0,70.07400135,819.5239913
1544020080,1.346886671,115802112,25026560,44590.76364,33993.01818,250925056,0,0,70.14545455,814.6545455
1544020070,1.35575324,111710208,25026560,44741.63636,34136.25455,250925056,0,0,70.16236068,812.2761404
1544020060,1.334486014,111419392,25026560,44538.76364,34008.72727,250925056,0,0,69.92727273,808
1544020050,1.367571451,115658752,25026560,44569.38182,33873.10909,250925056,0,0,70.67272727,824.6181818
1544020040,1.357550681,118255616,25026560,44997.54545,34118.83636,249917440,0,0,70.09090909,821.1272727
1544020030,1.37064718,114962432,25026560,44414.12727,33668.01818,249917440,0,0,70.45582647,830.3241877
1544020020,1.356977433,120676352,25026560,44964.16364,34018.78182,249917440,0,0,70.48962746,830.1485428
1544020010,1.383462431,117215232,25026560,45351.92727,34264.94545,249917440,0,0,70.08963473,828.5849348
1544020000,1.336424903,118800384,25026560,44767.34545,33900.94545,249917440,0,0,70.90909091,838.3454545
1544019990,1.372164077,114405376,25026560,45158.49091,34161.29091,249917440,0,0,70.50780895,835.1484518
1544019980,1.378079865,122392576,25026560,44824.8,33792.09091,248901632,0,0,71.56233523,845.1300885
1544019970,1.368838658,119496704,25026560,44912.23636,33964,248901632,0,0,70.87272727,836.8727273
1544019960,1.37209817,117678080,25026560,44418.54545,33623.29091,248901632,0,0,70.94545455,838.7454545
1544019950,1.361178229,115003392,25026560,43559.6,32956.76364,248901632,0,0,70.90909091,840.9090909
1544019940,1.397929647,112705536,25026560,44948.78182,33904.05455,248901632,0,0,70.92727273,841.0727273
1544019930,1.375274545,111673344,25026560,44631.05455,33681.63636,248901632,0,0,71.2,844.1636364
1544019920,1.390633578,115617792,25026560,44566.63636,33513.03636,247885824,0,0,71.21818182,853.3636364
1544019910,1.426117656,115736576,25026560,45228.2,33976.01818,247885824,0,0,70.92856234,849.1427117
1544019900,1.354163923,114958336,25026560,43227.29091,32622.6,247885824,0,0,70.65583011,845.7790142
1544019890,1.396612529,115134464,25026560,44910.05455,33810.2,247885824,0,0,71.18181818,850.2909091
1544019880,1.39122963,117575680,25026560,45103.78182,34004.36364,247885824,0,0,70.56491936,841.0698376
1544019870,1.388469876,117440512,25026560,44953.61818,33917.70909,247885824,0,0,71.16493027,848.5245186
1544019860,1.36963531,113905664,25026560,44098.54545,33331.4,246870016,0,0,70.81818182,845.0545455
1544019850,1.412972712,113807360,25026560,45328.61818,34142.76364,246870016,0,0,70.67401225,843.5426099
1544019840,1.398070453,113164288,25026560,45330.14545,34225.58182,246870016,0,0,71.23765887,847.7608684
1544019830,1.369523749,116633600,25026560,44295.74545,33430.83636,246870016,0,0,70.51037292,840.5789196
1544019820,1.374179122,114143232,25026560,44645.52727,33647.30909,246870016,0,0,70.91038019,844.6880852
1544019810,1.408485885,117354496,25026560,45667.09091,34383.01818,246870016,0,0,70.63764796,841.3425699
1544019800,1.349132254,113000448,25026560,43753.23636,33090.76364,245858304,0,0,70.70780531,842.1119616
1544019790,1.406975083,118628352,25026560,45295.78182,34038.63636,245858304,0,0,70.96363636,849.9090909
